,experiment_id,well,cells_ml_mean,cells_ml_std
160,experiment.transcriptic.r1dvbs8vu72tbp,f8,434676.1904775,668243.030842951
161,experiment.transcriptic.r1dvbs8vu72tbp,f9,1583197.2081975,951666.6852351389
162,experiment.transcriptic.r1dvbs8vu72tbp,g1,3495.8333325,3658.029600318395
163,experiment.transcriptic.r1dvbs8vu72tbp,g10,560433.3333325,887203.0302317564
164,experiment.transcriptic.r1dvbs8vu72tbp,g11,2072669.97708,807121.584633418
165,experiment.transcriptic.r1dvbs8vu72tbp,g12,119537.5000025,214670.60830415273
166,experiment.transcriptic.r1dvbs8vu72tbp,g3,140358.333335,239805.10971956784
167,experiment.transcriptic.r1dvbs8vu72tbp,g4,163634.72222250002,262137.56262220477
168,experiment.transcriptic.r1dvbs8vu72tbp,g5,65620.83333250001,119779.9420332538
169,experiment.transcriptic.r1dvbs8vu72tbp,g6,42799.999997499996,73565.40174054574
170,experiment.transcriptic.r1dvbs8vu72tbp,g7,1624526.5151499999,904621.7680423165
171,experiment.transcriptic.r1dvbs8vu72tbp,g8,12725.0,19983.449170415817
172,experiment.transcriptic.r1dvbs8vu72tbp,g9,1459909.848485,1086403.9662847624
173,experiment.transcriptic.r1dvbs8vu72tbp,h1,987.5000000000001,781.5434625956038
174,experiment.transcriptic.r1dvbs8vu72tbp,h10,86866.6666675,142906.9556160213
175,experiment.transcriptic.r1dvbs8vu72tbp,h11,169959.4339625,265773.59131614113
176,experiment.transcriptic.r1dvbs8vu72tbp,h12,67437.5,104508.06399676621
177,experiment.transcriptic.r1dvbs8vu72tbp,h3,10116.6666675,16987.495402694167
178,experiment.transcriptic.r1dvbs8vu72tbp,h4,28800.0,42037.56477303674
179,experiment.transcriptic.r1dvbs8vu72tbp,h5,77300.0,130516.30449945424
180,experiment.transcriptic.r1dvbs8vu72tbp,h6,143737.5,234542.0815790447
181,experiment.transcriptic.r1dvbs8vu72tbp,h7,19025.0,29781.91876266973
182,experiment.transcriptic.r1dvbs8vu72tbp,h8,198742.26190749995,343842.3086672924
183,experiment.transcriptic.r1dvbs8vu72tbp,h9,163205.26729500003,268748.2612747181
184,experiment.transcriptic.r1dvbs7kdxq4md,a1,330578.20512999996,549366.9173370808
185,experiment.transcriptic.r1dvbs7kdxq4md,a10,15441.666667500001,23292.068667931755
186,experiment.transcriptic.r1dvbs7kdxq4md,a11,12829.166667500001,19595.10225288192
187,experiment.transcriptic.r1dvbs7kdxq4md,a12,71891.66666500001,120573.71227723852
188,experiment.transcriptic.r1dvbs7kdxq4md,a2,3479.1666649999997,3436.4703843424813
189,experiment.transcriptic.r1dvbs7kdxq4md,a3,726408.333335,879708.0409500699
190,experiment.transcriptic.r1dvbs7kdxq4md,a4,230594.36937000003,387349.4751213455
191,experiment.transcriptic.r1dvbs7kdxq4md,a5,118058.3333325,192830.95191878465
