,experiment,experiment_id,well,strain,lab,strain_name,media_type,inducer_type,inducer_concentration,inducer_concentration_unit,temperature,temperature_unit,od,dead,ungrowing,doubling_time,n0,RF_prediction_mean,RF_prediction_std
49,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,e10,UWBF_25784,transcriptic,CRISPR_CEN.PK2_inducible_FP_25784,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.299766846559693,False,False,0.9999999999952908,6.3122564518640675e-22,0.995225,0.002114916161546443
50,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,e11,UWBF_25784,transcriptic,CRISPR_CEN.PK2_inducible_FP_25784,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3083407985427906,False,False,0.999999999996152,5.166732472513166e-22,0.9962333333333332,0.0014228297313608805
51,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,e12,UWBF_25784,transcriptic,CRISPR_CEN.PK2_inducible_FP_25784,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3393411915962097,False,False,0.9999999999960342,5.323351528240554e-22,0.9964460339440421,0.0009444795636585156
52,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,e3,UWBF_25784,transcriptic,CRISPR_CEN.PK2_inducible_FP_25784,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.2499264461010404,False,False,0.9999999999961384,5.184859360155441e-22,0.9961583333333331,0.0012859281127306653
53,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,e4,UWBF_25784,transcriptic,CRISPR_CEN.PK2_inducible_FP_25784,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3256124878324906,False,False,0.9999999999952404,6.379460837666167e-22,0.996525,0.0012565016101447324
54,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,e5,UWBF_25784,transcriptic,CRISPR_CEN.PK2_inducible_FP_25784,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.312408306078208,False,False,0.999999999996264,5.017448182373653e-22,0.9964666666666666,0.0016575305147740675
55,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,e6,UWBF_25784,transcriptic,CRISPR_CEN.PK2_inducible_FP_25784,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.353465806106506,False,False,0.999999999995994,5.376690137466019e-22,0.991848454795668,0.0090225419053765
56,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,e7,UWBF_25784,transcriptic,CRISPR_CEN.PK2_inducible_FP_25784,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.3389267344680071,False,False,0.9999999999960844,5.256579311996771e-22,0.9967666666666668,0.0005422859707516479
57,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,e8,UWBF_25784,transcriptic,CRISPR_CEN.PK2_inducible_FP_25784,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.2579424344377468,False,False,0.9999999999962558,5.02848264249814e-22,0.991925,0.00944909852647137
58,CEN-PK-Inducible-CRISPR-4-Day-Obstacle-Course_20200721164700,r1e3gncj6smbzp,e9,UWBF_25784,transcriptic,CRISPR_CEN.PK2_inducible_FP_25784,Synthetic_Complete,beta-estradiol,0.0,micromole,30.0,celsius,1.286303566580378,False,False,0.999999999996018,5.344786330539473e-22,0.9964416666666668,0.0019484799393563188
